road_type,intersection_degree,distance_to_major_road
trunk_link,3,2.358934795699922
tertiary,3,12.166184020856917
trunk,3,6.3198967713744745
trunk,3,34.23498130164219
secondary,3,3.2773833921623448
primary,1,18.953949018639022
secondary,4,1.5574537484320803
tertiary,3,14.20168154542368
primary,1,4.633075884522075
residential,3,6.567220631234949
residential,3,31.397450440673257
primary,3,1.7824735567576633
primary_link,3,1.5816595467837922
secondary,4,4.60670601250311
primary_link,3,0.46634746662441906
primary,3,12.57220357416308
primary,3,0.324364797931515
residential,3,13.141150064223616
tertiary,3,126.91713213671858
trunk,3,2.6024156162955694
residential,3,92.46669237459932
primary,3,1.8839680217034092
secondary,3,37.24104331740261
tertiary,3,17.405436571363012
primary,1,1.6074961918170176
tertiary,4,11.15780579333316
residential,3,11.46627151706858
tertiary,3,8.31521026858648
trunk,1,0.6781312939245353
trunk,3,1.1813938974698912
secondary,3,1.8520816311181603
primary,3,5.5220065564421255
primary,3,3.978330810428743
trunk,3,0.4958458715646979
residential,3,21.273919275285525
residential,1,56.59893617280758
secondary,3,0.12114409364882646
residential,3,532.94990052076
tertiary,3,5.411524440204213
motorway,3,0.3495989260319914
secondary,4,2.6055363848811965
tertiary,3,25.714981525950318
residential,3,13.231900990487665
primary,4,0.2963999491428465
trunk,3,18.038983245384646
primary,3,11.402633267324669
primary,3,36.85283156092075
trunk,3,5.203241181547386
trunk,3,78.37714546434192
trunk,3,1.704917796613623
primary,4,6.9330177968328615
primary,3,5.018141820552466
tertiary,3,8.581337881619165
motorway,1,7.503829082607521
primary,4,24.185401983768138
primary,3,28.325792895064023
secondary,3,0.25199645840174456
trunk,3,0.05709224443248083
tertiary,3,35.92079372760094
trunk_link,3,0.4826659755561733
trunk,3,7.785228034884373
tertiary,3,6.172405238405154
tertiary,4,13.466750862883998
tertiary,3,49.51549006230354
primary,4,8.369229736017683
secondary,2,19.141431292987267
trunk,3,3.0140442452463523
tertiary,3,10.197397175082985
primary,3,0.38420477925362645
primary,4,9.1125831404848
tertiary,1,26.359321629984393
tertiary,3,16.094317521812798
trunk,3,1.2893540956920604
tertiary,3,21.876867161371795
primary,3,1.2732709026555187
tertiary,1,6.705459985324227
primary,3,2.4090494028914144
tertiary,3,25.407055159139663
secondary,4,6.3963702534991
trunk,3,4.829310460047377
primary,3,1.0238628810677572
primary,1,4.998355721403354
primary,3,7.2951655260488035
trunk,3,0.16774305661310404
primary,3,1.7714664222263243
residential,3,9.03373358506369
tertiary,3,20.491339131759755
secondary,3,6.587565636264999
primary_link,4,2.752104922554085
tertiary,4,6.559928777584774
tertiary,1,26.98137326052873
tertiary,3,20.91088829305814
primary,3,1.1935882959288977
primary,3,5.604899628335526
secondary,3,8.580447029625738
primary,3,2.4562890380654845
primary,3,0.46690549604209247
primary,3,4.890716172520652
primary,4,0.7791497154239906
trunk,3,18.514451462051277
residential,3,140.92274065005688
trunk,3,18.400373491154884
residential,3,16.977295828194777
primary,3,8.901208485408784
trunk,3,4.125943039987405
tertiary,4,19.940509680908107
primary,3,4.589932951660313
residential,3,37.56044331707562
primary,3,0.3272955979643364
secondary,4,9.79689267062292
secondary,3,9.338845758797738
tertiary,3,10.924775289609693
tertiary,3,16.983440357231746
tertiary,3,14.526108646383674
tertiary,3,42.110427873334956
tertiary,3,14.526108646383674
secondary,3,9.31243889577386
primary,4,6.486177180523197
tertiary,3,15.140192380523604
secondary,2,0.3854249812969467
